CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
3.2.5-12,,,,,,,,,,,,,,,,,,,,,,
3.2.5-13,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.5-14,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.5-15,C,,,,I,,,,,A,A,,,A,,,,,,A,,
3.3.1-1,C,X,,,I,R,,,,R,,,,,,A,,,,,,A
3.3.1-2,C,X,,,I,,,,,,,R,,,,,,,,,,
3.3.1-3,C,X,,,I,,,,,,,,,,,,,A,,,,
3.3.1-4,C,X,,,I,,,,,,,,,,,A,,,,,,
3.3.1-5,C,X,,,I,,,,,,,,,R,,,,,,,,
3.3.1-5 Alternate I,C,X,,,I,,,,,,,,,A,,,,,,,,
3.3.1-5 Alternate III,,,,,,,,,,,,,,,,,,,,,,
3.3.1-5 Alternate II,C,X,,,I,,,,,,,,,A,,,,,,,,
3.3.1-6,C,X,,,I,A,,,,A,,,,A,A,,,,,,,
3.3.1-7,C,X,,,I,A,A,A,A,A,A,,,A,A,,,,,,,
3.3.1-8,C,X,,,I,A,,,,A,,,,,A,,,,,,A,A
3.3.1-9,C,X,,X,I,A,,A,,,,A,,,A,,A,A,A,A,A,A
3.3.1-10,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.3.1-11,C,,X,,I,,,,,R,R,,,,,,,,,R,,R
3.3.1-12,C,X,,,I,,A,,A,,A,,,,A,A,A,,A,A,A,A
3.3.1-13,C,X,,,I,,,,,,,,,,,,,,R,,,
3.3.1-14,C,X,,,I,,A,,A,,A,,,,A,A,A,,A,A,A,
3.3.1-15,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.3.1-15 Alternate I,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.3.1-16,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.3.1-17,C,X,,,I,A,A,A,A,A,A,,,A,A,A,A,A,A,A,A,A
3.3.1-18,C,X,,,I,,,,,,,,,,,,,A,,,,
3.3.1-19,C,X,,,I,,,,,,,R,,,,,,,,,,
3.3.1-20,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.3.1-21,C,,,,I,O,,,,O,,,,,,,,,,,,
3.3.1-22,C,,X,,I,O,,,,O,,,,,,,,,,,,
3.3.1-23,P,,,,L,O,,,,O,,,,,,,,,,,,
3.3.1-24,C,X,,,I,O,,,,,,,,,O,,,,,O,,
3.3.1-25,,,,,,,,,,,,,,,,,,,,,,
3.3.1-26,,,,,,,,,,,,,,,,,,,,,,
3.3.1-27,C,X,,,I,A,A,,,,,,,,A,,,,,A,,
3.3.1-28,P,X,,,L,A,,A,,A,,,,,A,A,,A,A,A,A,
3.3.1-29,P,X,,,L,A,,A,,A,,A,,,A,A,,,A,A,A,
3.3.1-30,P,X,,,M,A,,A,,A,,,,,A,A,,,A,A,A,
3.3.1-31,C,X,,,I,A,,A,,A,,A,,,A,A,,A,A,A,A,
3.3.1-31 Alternate I,C,X,,,I,A,,A,,A,,A,,,A,A,,A,A,A,A,
